PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR,Vol
PB563272,2008-08-02:01:15:42,0,BV-AH32-TM,T0,50.41,3065,13282,16110,1호기,1,1133,70,1118,108,342,889,1,6,1조,7.850275318265337
PB563273,2008-08-02:02:20:47,0,GL-A36-TM,T7,40.35,3229,15692,32100,2호기,1,1135,100,1113,109,342,815,1,6,3조,15.700560216208487
PB563274,2008-08-02:02:22:36,1,BV-AH36-TM,T7,40.35,3059,15821,30660,2호기,2,1135,93,1119,134,342,812,1,5,4조,15.700562206968195
PB563275,2008-08-02:02:22:35,0,NV-D36-TM,T7,40.35,2880,18679,17040,3호기,1,1114,85,1117,135,342,815,1,6,3조,7.8501859023531075
PB563276,2008-08-02:02:21:32,0,NV-A36-TM,T7,40.35,2660,20165,16990,3호기,2,1143,94,1122,110,342,816,1,6,3조,7.850005785740727
PB563277,2008-08-02:02:21:53,0,NV-A36-TM,T7,40.35,2343,20157,29920,1호기,1,1123,78,1118,112,342,818,1,6,3조,15.70073074032192
PB563278,2008-08-02:02:22:38,0,GL-D36-TM,T7,40.35,2306,20714,30260,1호기,2,1130,105,1120,115,342,812,1,6,3조,15.700088834910911
PB563279,2008-08-02:02:24:43,1,A131-DH36TM,T7,70.7,3570,9175,18180,2호기,2,1128,92,1121,145,342,859,0,6,3조,7.850551664807613
PB563280,2008-08-02:02:24:54,0,BV-EH36-TM,T8,73.71,2725,11041,17410,2호기,1,1119,70,1118,130,342,812,1,6,4조,7.850502268444624
PB563281,2008-08-02:02:24:05,0,BV-EH36-TM,T8,73.71,2725,11041,17410,3호기,1,1124,84,1121,129,342,819,1,6,4조,7.850502268444624
PB563282,2008-08-02:02:25:03,0,NV-D36-TM,T7,54.41,2725,11031,12840,3호기,2,1139,82,1127,130,342,814,1,6,2조,7.850637177775578
PB563283,2008-08-02:02:25:53,0,AB/EH36-TM,T8,76.91,2560,7893,12200,1호기,1,1111,77,1118,144,360,837,1,6,1조,7.850457218041271
PB563284,2008-08-02:02:25:12,0,AB/EH36-TM,T8,76.91,2560,7893,12200,1호기,2,1113,71,1118,143,360,842,1,6,1조,7.850457218041271
PB563285,2008-08-02:02:25:51,0,AB/EH36-TM,T8,76.91,2560,7893,12200,2호기,1,1103,68,1122,143,360,848,1,6,1조,7.850457218041271
PB563286,2008-08-02:03:30:46,0,BV-AH36-TL,T7,73.73,1840,10019,10670,2호기,2,1144,102,1123,139,342,814,1,6,4조,7.850150553468632
PB563287,2008-08-02:03:31:22,0,COMMON,T7,75.74,1840,16672,36480,3호기,1,1124,77,1127,143,342,811,1,6,1조,15.700880357727096
PB563288,2008-08-02:03:31:18,1,BV-AH36-TL,T7,75.74,1840,9753,10670,3호기,2,1123,55,1135,155,342,811,0,6,3조,7.850242477818789
PB563289,2008-08-02:03:31:28,0,BV-AH36-TL,T7,75.74,1840,9753,10670,1호기,1,1114,72,1131,155,342,815,1,6,2조,7.850242477818789
PB563290,2008-08-02:03:32:35,0,NV-A,C0,15.08,3333,51475,20310,1호기,2,1122,64,1123,167,342,861,1,10,2조,7.850131158588346
PB563291,2008-08-02:03:32:45,0,NV-A,C0,16.09,3408,50690,43640,3호기,1,1119,75,1133,163,342,867,1,10,1조,15.700259132791377
PB563292,2008-08-02:03:33:56,0,LR-A,C0,13.06,3499,53300,57360,2호기,1,1118,62,1129,174,342,840,1,10,1조,23.55021163079902
PB563293,2008-08-02:03:33:46,0,NV-A,C0,13.06,3445,53682,18960,2호기,2,1147,73,1129,164,342,723,1,10,3조,7.850137108569467
PB563294,2008-08-02:03:34:03,0,NV-A,C0,13.06,3295,52130,17610,3호기,2,1177,139,1139,107,342,842,1,10,4조,7.850061066275863
PB563295,2008-08-02:03:34:39,0,LR-A,C0,13.36,3565,54883,20520,1호기,2,1131,56,1136,178,342,860,1,10,3조,7.850069856432702
PB563296,2008-08-02:03:35:16,0,LR-A,C0,13.06,3270,53930,18080,1호기,1,1178,137,1144,114,342,853,1,10,1조,7.850134110900927
PB563297,2008-08-02:05:54:49,0,LR-A,C0,13.06,3430,52438,36880,2호기,1,1171,125,1133,223,342,909,1,10,3조,15.700283559432693
PB563298,2008-08-02:05:54:05,0,LR-A,C0,13.06,3405,54170,56730,2호기,2,1141,59,1130,294,342,875,1,10,1조,23.55014875966429
